direction,arm,start_12,end_12,start_22,end_22,start_23,end_23,start_24,end_24,start_25,end_25,start_26,end_26,start_27,end_27,start_28,end_28
forward,right,0.4370043277740478,0.4886167049407959,-0.6872833371162415,-0.825161874294281,0.1219043359160423,0.0450854524970054,0.5826610326766968,-0.0047936900518834,-0.1080377921462059,0.2999531626701355,1.6789300441741943,1.8706656694412231,-0.0146878669038414,0.2015804201364517,0.084054484963417,-0.181968480348587
down,right,0.4889648854732513,0.3264542520046234,-0.7768294811248779,-0.2035161107778549,0.0642482340335846,0.1243251487612724,0.0729120299220085,0.030667632818222,0.3003246784210205,1.1524630784988403,1.8703300952911377,1.068142056465149,0.2013963460922241,0.0662526339292526,-0.2544414103031158,-0.0099095162004232
right,right,0.3265211880207062,0.323615163564682,-0.203504130244255,-0.0985343009233474,0.1244569793343544,-0.5092328786849976,0.0330884456634521,-0.4404442608356476,1.1518638134002686,1.1214717626571655,1.0680221319198608,0.9375259280204772,0.0663676857948303,-0.3389330804347992,-0.0102623319253325,0.3846763968467712
down,right,0.3234812319278717,0.3199591636657715,-0.0999004989862442,0.0902771651744842,-0.4652268290519714,-0.1531456112861633,-0.4408756792545318,-0.4411513209342956,1.116438388824463,1.3834829330444336,0.9380292892456056,0.9409773945808412,-0.2552237510681152,-0.2003609091043472,0.3845306634902954,0.1220358461141586
back,right,0.3198520243167877,0.2833992838859558,0.0966767445206642,0.7056431770324707,-0.0897250920534133,-0.1418325006961822,-0.4405521154403686,-0.4385267794132232,1.3840101957321167,0.1363565176725387,0.9405819177627563,1.359981894493103,-0.2003072202205658,0.132819727063179,0.1263003200292587,0.2692059576511383
right,right,0.2833859026432037,0.2849125862121582,0.5895759463310242,0.2785493433475494,-0.0824266970157623,0.0056213997304439,-0.4376039803028106,-1.3960663080215454,0.1406468600034713,0.2129357159137725,1.3601975440979004,1.363553166389465,0.1297517716884613,0.0962956473231315,0.2683239281177521,0.071429818868637
back,right,0.2857428789138794,0.2832653820514679,0.2327336519956588,0.6431694030761719,0.0651470497250557,-0.2204969525337219,-1.380522847175598,-0.7133730053901672,0.2141820788383484,-0.2657142281532287,1.363517165184021,1.3052139282226562,0.0966024473309516,0.1085214763879776,0.1358186602592468,0.3569343388080597
right,right,0.2849527597427368,0.2899613380432129,0.5102283954620361,0.1766834259033203,-0.2034194469451904,-0.0959928482770919,-0.6737052202224731,-1.5384269952774048,-0.2853324115276336,-0.052023522555828,1.304722547531128,0.5782508254051208,0.1602856665849685,0.0675565153360366,0.3955523073673248,0.6737320423126221
back,right,0.2900684475898742,0.2851134538650512,0.1341274529695511,0.7535800933837891,-0.0119954124093055,-0.4119209945201874,-1.5358264446258545,-0.7583138346672058,-0.0523231290280818,-0.3307046890258789,0.5779871940612793,1.4034487009048462,0.0673647671937942,0.3076168596744537,0.6814402937889099,0.3877059817314148
down,right,0.2858098447322845,0.2844840288162231,0.628584623336792,0.4838151633739471,-0.405521422624588,-0.1064670532941818,-0.7524296045303345,-0.8066222667694092,-0.3738359212875366,0.7751277089118958,1.4025617837905884,0.773617684841156,0.3059678375720978,0.3333493769168854,0.383709967136383,0.2706785798072815
back,right,0.2847786545753479,0.1986821591854095,0.4672529697418213,0.4835754632949829,-0.0510999411344528,-0.1386686712503433,-0.8012892603874207,-0.334096223115921,0.8129259347915649,-0.2091487050056457,0.7738693356513977,1.5209540128707886,0.3333493769168854,0.3284866511821747,0.2698349058628082,0.2776351869106293
down,right,0.1986018121242523,0.1985616385936737,0.4887646436691284,0.4122573435306549,-0.0950700640678405,-0.0199409499764442,-0.3307526409626007,-0.7197006344795227,-0.2097479104995727,1.203851342201233,1.5212535858154297,1.282204270362854,0.3495328724384308,0.0116199050098657,0.2764386832714081,0.5136381387710571
left,right,0.198588415980339,0.570012629032135,0.3948083221912384,-0.1055211052298545,0.0262702200561761,0.0536062382161617,-0.7195088863372803,0.7014127373695374,1.2028326988220217,0.3643803596496582,1.2828513383865356,0.2621669173240661,0.0116659244522452,-0.1133458465337753,0.5120735168457031,0.0004065049288328
up,right,0.5701331496238708,0.5691689848899841,-0.1007034480571746,-0.336672842502594,0.0534863956272602,0.1366329491138458,0.7099454998970032,0.3889719843864441,0.3802474737167358,-0.667593240737915,0.2610044479370117,0.2632694542407989,-0.049746997654438,-0.2168665379285812,-0.0002454369387123,0.2600174248218536
back,right,0.5695707201957703,0.5603035092353821,-0.309660404920578,0.4946968257427215,0.1256194412708282,-0.2492471039295196,0.5085745453834534,0.425284206867218,-0.6583653688430786,-0.2858357429504394,0.2661696374416351,0.0008748484542593,-0.2579158842563629,-0.4547869861125946,0.2615590691566467,0.3674651086330414
left,right,0.5604240298271179,0.5707492232322693,0.4885489344596863,-0.2710112631320953,-0.2140734195709228,0.0695692300796508,0.4234026670455932,0.8493220210075378,-0.246335744857788,0.0447610802948474,-0.0051532168872654,0.155423417687416,-0.4575711488723755,-0.0221276748925447,0.3677795827388763,0.2601785063743591
right,right,0.5707893967628479,0.5697849988937378,-0.2535622417926788,-0.185743510723114,0.0642122775316238,-0.0736063122749328,0.8530731201171875,-0.9221621751785278,0.1082774773240089,0.4164638221263885,0.144349992275238,-0.2837385237216949,-0.0679630190134048,-0.2480907291173935,0.2601708173751831,0.2197044044733047
up,right,0.5704010128974915,0.1097064092755317,-0.1934254020452499,-0.3724217712879181,-0.0123669207096099,-0.1148320436477661,-0.9094229340553284,-0.4489290714263916,0.4161881804466247,-0.1729563325643539,-0.2845055162906647,-0.0520474910736084,-0.2485279142856598,-0.4679638743400574,0.2200495600700378,-0.076952151954174
left,right,0.2683334052562713,0.2686414122581482,-0.0962572991847992,-0.2525315880775451,-0.0524182021617889,0.0639006868004798,-0.1327612400054931,0.8917222023010254,0.2595303952693939,0.1695647984743118,0.3433720171451568,0.3053221106529236,-0.4469790160655975,-0.1962728500366211,0.1338781863451004,0.2592120766639709
